Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
EAST BOSTON,BENNNINGTON ST,58,,,,,Eversource Electric,Mirra Co,EMER-1179344,EMERGENCY,CABLE HIT BY CONTRACTOR,Days & Weekends,Apr 21 2021 12:00AM,May  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,888-632-0931,1,09
EAST BOSTON,MERIDIAN ST,477,,,,,National Grid,Feeney Brothers Excavation,EXCA-1113097,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,Jun  3 2021 12:00AM,Jun  3 2021 12:00AM,1,,PLATES PINNED & BERMED,,877-304-1203,1,09
EAST BOSTON,BOARDMAN ST,11,,,,,National Grid,National Grid,EMER-0000000,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 30 2021 12:00AM,May 10 2021 12:00AM,,,DOWN IN BINDER,,877-304-1203,1,09
EAST BOSTON,MAVERICK ST,287,,,,,Atlantic Coast Utilities,Atlantic Coast Utilities,,,,Days & Weekends,,Apr 27 2021 12:00AM,2,,PLATES PINNED & BERMED,,617-721 9393,1,09
EAST BOSTON,CONDOR ST,97,,,,,Hercules Drain,Hercules Drain,EXCA-1103876,SERVICE,INSTALLATION OF WATER,Days & Weekends,May 10 2021 12:00AM,May 10 2021 12:00AM,2,,PLATES PINNED & BERMED,,781-251 9744,1,09
EAST BOSTON,TRUSTMAN TR,24,,,,,National Grid,National Grid,EMER-1160727,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 29 2021 12:00AM,May 15 2021 12:00AM,,,NO START,,877-304-1203,1,09
EAST BOSTON,SUMNER ST,164,,,,,EB Rotondi,EB Rotondi,EXCA-1146415,SERVICE,INSTALLATION OF WATER SEWER DRAIN AND FIREPIPE,Days & Weekends,May 19 2021 12:00AM,May 19 2021 12:00AM,3,,PLATES PINNED & BERMED,,781-248 6666,1,09
EAST BOSTON,BENNINGTON ST,690,,,,,National Grid,National Grid,EMER-1160725,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,Apr 28 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304 1203,1,09
EAST BOSTON,CHELSEA ST,337,,,,,Eversource Electric,Mirra Co,EXCA-227372,MAINTENANCE,CABLE REPAIR,Days & Weekends,Dec 31 2021 12:00AM,Dec 31 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,09
EAST BOSTON,MARION,,,,,,E.B. Rotondi & Sons Inc.,E.B. Rotondi & Sons Inc.,EXCA-1181739,SERVICE,INSTALLATION OF FIREPIPE,Days & Weekends,May 25 2021 12:00AM,May  7 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,781-248 6666,1,09
EAST BOSTON,MAVERICK,273,,,,,Eversource Electric,Sheerin Construction,EMER-1179350,EMERGENCY,REROOF MANHOLE,Days & Weekends,Apr 27 2021 12:00AM,May  7 2021 12:00AM,2,,PLATES PINNED & BERMED,,800-592 2000,1,09
EAST BOSTON,BENNINGTON ST,1100,,,,,National Grid,Feeney Brothers Excavation,EXCA-1179967,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May 13 2021 12:00AM,May 13 2021 12:00AM,7,,PLATES PINNED & BERMED,,877-304-1203,1,09
EAST BOSTON,EUTAW ST,,,MARION ST,,,E.B. Rotondi & Sons Inc.,E.B. Rotondi & Sons Inc.,EXCA-1181739,SERVICE,INSTALLATION OF FIREPIPE,Days & Weekends,May 25 2021 12:00AM,May 25 2021 12:00AM,3,,PLATES PINNED & BERMED,,781-248 6666,1,09
EAST BOSTON,MAVERICK ST,273,299,,,,Eversource Electric,Sheerin Construction,EMER-1179350,EMERGENCY,REFOOF MANHOLE,Days & Weekends,Mar 27 2021 12:00AM,May 10 2021 12:00AM,,,NO START,,800-592-2000,1,09
EAST BOSTON,CONDOR ST,0,,EAST EAGLE ST,,,Public Facilities,J & J Contractors,EXCA-1117788,NEW CONDUIT AND/OR MAIN,INSTALLATION OF DRAIN LINE FOR POLICE STATION,Days & Weekends,Apr 30 2021 12:00AM,May 10 2021 12:00AM,1,,PLATES PINNED & BERMED,20,978-423 6823,1,09
EAST BOSTON,LEXINGTON ST,44,,,,,National Grid,National Grid,EXCA-1177766,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May  6 2021 12:00AM,May  6 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,EUTAW ST,49,,,,,National Grid,National Grid,EXCA-1177776,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,May  6 2021 12:00AM,May  6 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,BENNINGTON ST,229,,,,,Verizon,Danella,EXCA-1185332,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,May 28 2021 12:00AM,May 28 2021 12:00AM,,,SAW CUT,343,800-446 8946,1,09
EAST BOSTON,ST EDWARD ST,43,45,,,,Boston Water & Sewer Commission,Umbro & Sons Con,EXCA-1047182,MAINTENANCE,CASTING REPAIRS,Days & Weekends,May 24 2021 12:00AM,May 24 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,CHELSEA ST,430,,,,,Boston Water & Sewer Commission,Umbro & Sons Con,EXCA-1047182,MAINTENANCE,CASTING & MH REPAIR,Days & Weekends,May 24 2021 12:00AM,May 24 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,BARNES AV,28,49,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EXCA-107182,MAINTENANCE,CASTING REPAIRS,Days & Weekends,May 24 2021 12:00AM,May 24 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,LIVERPOOL ST,109,,,,,Boston Water & Sewer Commission,Umbro,EXCA-1177332,MAINTENANCE,CATCH BASIN REPAIR,Days & Weekends,Jun  1 2021 12:00AM,Jun  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,LONDON ST,89,,,,,Boston Water & Sewer Commission,Umbro,EXCA-1177333,SERVICE,INSTALLATION OF NEW DRAIN,Days & Weekends,Jun  1 2021 12:00AM,Jun  1 2021 12:00AM,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,SARATOGOA ST ,645,,,,,Boston Water & Sewer Commission,C Naughton Corp,EMER-1184885,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,May  7 2021 12:00AM,,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
